bcs-services-stack	1.28.2-beta.2	1.28.2-beta.2
bk-apicheck	2.0.3	2.0.3
bk-apigateway	1.10.0-beta.10	1.10.3
bk-cmdb	3.11.29	3.10.28
bk-console	0.1.2-beta.1	0.1.2-beta.1
bk-gse-ce	2.1.2-beta.20	2.1.2-beta.20
bk-ingress-nginx	1.1.0	1.3.0
bk-job	0.4.5-rc.1	3.7.5-rc.1
bk-log-collector	0.1.3	7.5.1-rc155
bk-log-search	4.6.3	4.6.3-alpha.48
bk-monitor	3.8.0-alpha.19	3.8.0-alpha.131
bk-nodeman	2.3.2	2.3.2
bk-user	1.4.14-beta.1	2.5.4-beta.1
bkapp-log-collection	1.1.9	1.1.9
bkauth	0.0.11	0.0.13
bkiam	0.2.5	1.12.6
bkiam-saas	0.2.15	1.10.9
bkiam-search-engine	0.1.2	1.1.2
bkmonitor-operator-stack	3.6.70	3.7.1013
bkpaas-app-operator	1.1.0-beta.16	1.1.0-beta.35
bkpaas3	1.1.0-beta.43	1.1.0-beta.43
bkrepo	1.3.16-beta.4	1.3.16-beta.3
bkssm	1.0.8	1.0.12
bkhelmfile	7.1.0	--
helm_cmd	3.7.2	--
jq_cmd	1.6	--
yq_cmd	4.16.1	--
helmfile_cmd	0.142.0	--
helm_diff	3.1.3	--
bk_itsm	2.6.6	--
bk_sops	3.28.13	--
bk_lesscode	1.0.10	--
gse_agent	2.1.2-beta.20	--
gse_proxy	2.1.2-beta.20	--
gse_plugins_freq	20230720	--
bkmonitorbeat	3.7.1013	--
bkunifylogbeat	7.5.1-rc155	--
bk-collector	0.15.1041	--
chart-images	7.1.0	--
checkout	2.0.13	--
run	1.0.5	--
SubPipelineExec	1.0.6	--
uploadArtifact	2.0.1	--
uploadReport	1.0.1	--
AcrossProjectDistribution	1.1.1	--
downloadArtifact	1.0.2	--
PerforceSync	1.0.13	--
CodeCCCheckAtom	0.1.2	--
